rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,SEK.AX,SEEK LTD,12.8,4582018560.0,-5.6,-6.57,-5.39,0.68,1D <= -4.0%,,"SEEK Ltd (ASX:SEK) Stock Declines — What Is Behind the Selling Despite a Record Dividend? - Kalkine | ASX growth share with attractive dividend - Morningstar Australia | Are Seek (ASX:SEK) Shares Rebuilding A Steadier Base? - Kalkine Media | Seek Shares (SEK) Hit Decade Low as Pressures Mount: The Latest - thebull.com.au | Why CBA, Seek, and AGL shares are turning heads on Wednesday - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,PXA.AX,PEXA GROUP LTD,7.04,1238590848.0,-5.5,-1.4,-11.11,1.13,1D <= -4.0%,downgrade,"PEXA Group Ltd (ASX:PXA) Share Price and Business Update - Kalkine | Undervalued ASX share retains wide moat rating despite regulatory pressures - Morningstar Australia | PEXA Group Director Georgina Lynch Purchases 12,064 Shares in On-Market Transaction - Kalkine Media | PEXA Shares Hit All-Time Low as Downgrade Fuels Bears - thebull.com.au | Buy, hold or sell, PEXA, ASX and Qantas shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,GDG.AX,GENERATION DEVELOPMENT GROUP,3.2,1279736064.0,-5.04,4.91,-19.34,1.29,1D <= -4.0%; 20D <= -15.0%,,Generation Development Group (ASX:GDG): Is the Market Underestimating This Financials Name? - Kalkine | Generation Development Group (ASX:GDG) Shares Drift As FUM Strength Meets Thin Margins - simplywall.st | Generation Development Group FY26 earnings: Record inflows and FUM growth - The Motley Fool Australia | Generation Development Group (ASX:GDG) Tomorrow’s Ex-Dividend Stocks: What to Know - Kalkine | Generation Development Group (ASX:GDG) Shares Could Be 37.4% Undervalued After Record FY2025 Results - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,APE.AX,EAGERS AUTOMOTIVE LTD,19.71,5564366336.0,-5.01,-5.2,-15.84,3.05,1D <= -4.0%; 20D <= -15.0%,,"Eagers Automotive (ASX:APE) Slides 1.70% — Share Buy-Back and New Director in Focus - Kalkine | Read This Before Considering Eagers Automotive Limited (ASX:APE) For Its Upcoming AU$0.25 Dividend - simplywall.st | Eagers Automotive Cancels 51,000 Shares Under On-Market Buy-Back - Kalkine | Why are Eagers Automotive shares tumbling on Wednesday? - The Motley Fool Australia | At AU$28.00, Is Eagers Automotive Limited (ASX:APE) Worth Looking At Closely? - Yahoo Finance",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,INA.AX,INGENIA COMMUNITIES GROUP,4.0,1630333056.0,-4.76,11.11,-4.92,2.45,1D <= -4.0%,,Ingenia Communities Group (ASX: INA): Board Rejects Warburg Pincus Takeover Bid at $4.75 — Should You Keep This Real Estate Stock in Your Watchlist? - Kalkine | Australian Shares Flat; Ingenia Communities Rejects Unsolicited Warburg Pincus Takeover Proposal - Yahoo Finance Australia | Why Is Ingenia Communities (ASX:INA) Reshaping Assets? - Kalkine Media | Ingenia Communities Group (ASX:INA): What Could Put This Property Name Back on Investors' Radar? - Kalkine | Ingenia Communities Group (ASX:INA) Shares Chase One Off Profit Glow - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,GLF.AX,GEMLIFE COMMUNITIES GROUP,4.4,1673269248.0,-4.35,-3.93,0.23,0.48,1D <= -4.0%,,Could GemLife Communities Group (ASX:GLF) Be an Overlooked ASX Property Story? - Kalkine | GemLife (ASX:GLF) Shares Can Upgraded Guidance Justify A Premium P/E? - simplywall.st | GemLife Communities Group (ASX:GLF) Ticks Higher—Can Settlement Growth Support Guidance? - Kalkine | GemLife Communities (ASX:GLF): This $2bn company could be the best way to play the Baby Boomer trade! - Stocks Down Under | GLF Forecast — Price Target — Prediction for 2027 - TradingView,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,WGX.AX,WESTGOLD RESOURCES LTD,6.18,5834487296.0,-4.33,1.31,5.64,1.94,1D <= -4.0%,,Westgold Resources (ASX: WGX): Record FY2026 Output and A$939 Million Treasury - Kalkine | Westgold Resources Limited Just Missed Earnings - But Analysts Have Updated Their Models - simplywall.st | The 5 best ASX 200 stocks to buy and hold in August revealed - The Motley Fool Australia | Westgold Resources (ASX:WGX) Stock Rises 8% Amid Gold Sector Rally - Kalkine | Is Westgold Resources (ASX:WGX) Stock Positioned for Further Gold Sector Gains? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,XRO.AX,XERO LTD,71.63,12654267392.0,-3.53,-11.81,-7.45,0.73,5D <= -8.0%,,"Xero shares jump 33% from a 7-year low: Buy, sell or hold? - The Motley Fool Australia | Why Is Xero (ASX:XRO) Suddenly Back in Tech Stock Focus? - Kalkine Media | Xero (ASX:XRO) share price falls 3% as CEO sells shares - Rask Media | Xero Limited (ASX: XRO): Technology Sell-Off Weighs on Shares Despite No Company Update - Kalkine | What did Morningstar subscribers buy and sell during June? - Morningstar Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,OCL.AX,OBJECTIVE CORPORATION LTD,5.94,567943040.0,-3.1,-7.89,-15.71,1.0,20D <= -15.0%,,"Objective Corporation (ASX:OCL): Defence Contract Loss, Share Buyback and the Nexus Transition - Kalkine | Objective Corporation (ASX:OCL) Balances Recurring Revenue Growth Amid Active Share Buy-Back - Kalkine | Will Objective Corporation (ASX:OCL) Keep Compounding? - Kalkine Media | Objective Corporation Limited Just Recorded A 7.8% EPS Beat: Here's What Analysts Are Forecasting Next - simplywall.st | When Should You Buy Objective Corporation Limited (ASX:OCL)? - Yahoo Finance",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,CNI.AX,CENTURIA CAPITAL GROUP,1.26,1269367296.0,-3.07,3.69,-15.1,0.84,20D <= -15.0%,,Could Centuria Capital Group (ASX:CNI) Be an Overlooked ASX Property Story? - Kalkine | Centuria Capital Group (ASX:CNI) Shares Trail A Profitable Recovery Story - simplywall.st | First Sentier Group Reports Increase in Substantial Holding in Centuria Capital Group (ASX:CNI) - Kalkine Media | Centuria Capital Group (ASX:CNI) Shares Surge as AI Infrastructure Plans Gain Market Attention - Kalkine | Centuria Capital Group (ASX:CNI) Enters FY27 With Record Assets and New Digital Ambitions - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,near_miss,MAF.AX,MA FINANCIAL GROUP LTD,5.2,1025814464.0,-2.8,-2.8,-15.11,1.42,20D <= -15.0%,,"What Could Drive the Next Re-Rating at MA Financial Group (ASX:MAF)? - Kalkine | MA Financial Group (ASX:MAF) Shares Trail EPS Surge As Margins Tighten - simplywall.st | MA Financial delivers record 1H26 earnings and lifts dividend - The Motley Fool Australia | MA Financial Group (ASX:MAF) Share Price Falls — What's Weighing on the Stock? - Kalkine | MA Financial (ASX:MAF) $14.8bn AUM, $179bn Finsure record and a $1bn quarter for MA Money - Stocks Down Under",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
