rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,BSL.AX,BLUESCOPE STEEL LTD,30.05,,-6.53,-11.25,-7.11,2.91,1D <= -4.0%; 5D <= -8.0%,,BlueScope Steel (ASX:BSL) Share Price Advances After FY26 Results and Capital Return Update - Kalkine | BlueScope Steel FY26 earnings: Profit and dividends soar - The Motley Fool Australia | BlueScope Steel (ASX:BSL): Why Could This Value Stock Matter Now? - Kalkine Media | BlueScope Steel Ltd (ASX:BSL) Drops — Should It Stay on Your Radar? - Kalkine | BlueScope Steel Shares (BSL) Soar on A$13 Billion Takeover Proposal - thebull.com.au,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent. Market cap temporarily unavailable; retained because ticker is in the broad A300 universe.",
2,near_miss,MPL.AX,MEDIBANK PRIVATE LTD,4.71,12971355136.0,-6.36,-7.1,-7.83,4.4,1D <= -4.0%,,Medibank FY26 earnings: Profit and dividend rise - The Motley Fool Australia | Medibank Private Ltd Share Price and Fundamentals (MPL) - thebull.com.au | Medibank (ASX:MPL) Shares Edge Higher as Health Insurer Remains in Focus - Kalkine | Medibank Private Limited (ASX:MPL) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future? - Yahoo Finance | MPL Forecast — Price Target — Prediction for 2027 - TradingView,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,SLC.AX,SUPERLOOP LTD,3.13,1611054592.0,-6.01,0.32,-1.57,3.11,1D <= -4.0%,,How Investors May Respond To Superloop (ASX:SLC) Beating Guidance And Completing Its Double Down Plan - simplywall.st | Superloop (ASX:SLC) Shares Outlook: Key Growth Drivers to Watch - Kalkine | Why Is Superloop (ASX:SLC) Chasing Fibre Growth Right Now? - Kalkine Media | Investing in Superloop (ASX:SLC) three years ago would have delivered you a 248% gain - Yahoo Finance | SLC Forecast — Price Target — Prediction for 2027 - TradingView,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,RDX.AX,REDOX LTD/AUSTRALIA,3.59,1885042304.0,-5.53,-5.28,-4.52,2.29,1D <= -4.0%,,"Redox (ASX:RDX): Why This Chemicals Distributor Is Under Pressure After a Strong Listing Run - Kalkine | Redox Limited (ASX:RDX) Chief Operating Officer Richard Coneliano, the company's largest shareholder sees 6.5%reduction in holdings value - simplywall.st | Undervalued ASX founder-led companies - Morningstar Australia | RDX Forecast — Price Target — Prediction for 2027 - TradingView | RDX Stock Analysis 2026: REDOX (ASX:RDX) Rallies 7.18% on M&A Momentum and Strong Half-Year Growth - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,NHF.AX,NIB HOLDINGS LTD,7.09,3466391808.0,-5.34,-3.67,-5.09,1.41,1D <= -4.0%,,Nib Holdings (ASX:NHF) Falls Quietly on ASX—Is This a Hidden Sentiment Shift in Insurance Stocks? - Kalkine | Should Weakness in nib holdings limited's (ASX:NHF) Stock Be Seen As A Sign That Market Will Correct The Share Price Given Decent Financials? - simplywall.st | Why Nib shares are edging higher after today’s update - The Motley Fool Australia | NIB Holdings (ASX:NHF): A Healthcare Dividend Stock With Defensive Appeal - Kalkine | nib holdings limited (ASX:NHF) Looks Inexpensive But Perhaps Not Attractive Enough - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,MP1.AX,MEGAPORT LTD,19.31,4680136192.0,-5.06,-10.93,1.15,3.41,1D <= -4.0%; 5D <= -8.0%,,"The Bull Case For Megaport (ASX:MP1) Could Change Following FY26 Revenue Surge But Deeper Losses - simplywall.st | Why Are Megaport (ASX:MP1) Shares Trading Higher on Friday? - Kalkine | Up 155% since April, is it too late to buy Megaport shares today? - The Motley Fool Australia | What Is Shaping Megaport (ASX:MP1) on Compute? - Kalkine Media | AI driving growth for ASX tech share - Morningstar Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,NWL.AX,NETWEALTH GROUP LTD,22.11,5425721344.0,-4.29,-8.22,1.01,1.94,1D <= -4.0%; 5D <= -8.0%,,"Netwealth (ASX:NWL) Shares Decline Amid Weakness Among Financial Service Stocks - Kalkine | 2 ASX 200 stocks that could rise 31% and 121% - The Motley Fool Australia | NWL Forecast — Price Target — Prediction for 2027 - TradingView | Netwealth Shares Bounce 22%, As Momentum Shifts: The Latest - thebull.com.au | With 48% ownership, Netwealth Group Limited (ASX:NWL) insiders have a lot riding on the company's future - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,IAG.AX,INSURANCE AUSTRALIA GROUP,7.8,,-4.18,-0.13,-7.47,1.13,1D <= -4.0%,,"Is Insurance Australia Group (ASX:IAG) Fairly Valued Following Lower Earnings And A Higher Dividend? - simplywall.st | 3 ASX Stocks That Gained Limelight Today: TLS, CWY and IAG in Focus - Kalkine | IAG shares dive 7% on FY26 results despite $1.3B increase in gross written premiums - The Motley Fool Australia | Could Insurance Australia Group (ASX:IAG) Remain Fairly Valued After Its Latest Results? - Kalkine Media | IAG Shares Gain Ground as Analyst Upgrades To Buy - thebull.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent. Market cap temporarily unavailable; retained because ticker is in the broad A300 universe.",
9,near_miss,GNP.AX,GENUSPLUS GROUP LTD,9.07,1646437376.0,-4.02,-0.33,-1.73,1.14,1D <= -4.0%,,What's Behind GenusPlus Group's (ASX: GNP) 133% One-Year Rally? - Kalkine | What Is Shaping Genusplus (ASX:GNP) on Battery Contracts? - Kalkine Media | Earnings Not Telling The Story For GenusPlus Group Ltd (ASX:GNP) After Shares Rise 25% - simplywall.st | Up 200%! Is it too late to buy this ASX stock? Bell Potter says it isn't - The Motley Fool Australia | Insights: GenusPlus Group Ltd (ASX:GNP) - smallcaps.com.au,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,GWA.AX,GWA GROUP LTD,2.09,531661568.0,-2.56,-8.71,-6.75,3.42,5D <= -8.0%,,GWA Group Limited (ASX:GWA) Share Price Decline Highlights Cash Flow and Housing Market Concerns - Kalkine | GWA Group (ASX:GWA) Shares Drift As Margin Repair Meets Cash Flow Doubts - simplywall.st | GWA Group Completes On-Market Share Buy-Back of 10.8 Million Shares for $25 Million - Kalkine | GWA Forecast — Price Target — Prediction for 2027 - TradingView | 3 ASX stocks poised to ride Australia’s renovation wave - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,near_miss,BEN.AX,BENDIGO AND ADELAIDE BANK,10.21,5757081088.0,-1.83,-8.27,-5.55,1.52,5D <= -8.0%,,"Bendigo Bank (ASX:BEN) share price sinks on APRA pain, FY26 result - Rask Media | ASX 200 Stocks in Red: Sims Limited (ASX:SGM) and Bendigo Bank (ASX:BEN) Slide on FY26 Updates - Kalkine | Bendigo and Adelaide Bank posts FY26 profit as it commits to risk overhaul - The Motley Fool Australia | Does APRA Penalty And Cyber Incident Accounting Shape The Bull Case For Bendigo and Adelaide Bank (ASX:BEN)? - simplywall.st | Bendigo and Adelaide Bank (ASX:BEN) Shares Fall 8% Today as APRA Risk Action Hits FY26 Profit - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
