rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,ASB.AX,AUSTAL LTD,4.13,1743166464,-6.77,7.55,16.34,1.81,1D <= -4.0%,,"Austal Ltd (ASX:ASB) Plunges: Will the Hanwha Offer Provide a Valuation Floor? - Kalkine | Austal posts FY26 loss, receives offer for US business - The Motley Fool Australia | Austal (ASX:ASB) cops A$175m US hit as Hanwha lobs US$1.2bn bid - Stocks Down Under | Why Austal (ASX:ASB) Stands Out in Industrial Stocks? - Kalkine Media | Austal (ASX:ASB) Surges On Hanwha Offer For US Operations - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,EQR.AX,EQ RESOURCES LTD,0.3,1546536192,-6.25,-6.25,22.45,0.63,1D <= -4.0%,,Beyond the Daily Drop: What Investors Are Watching at EQ Resources (ASX:EQR)? - Kalkine | Billionaire Andrew Forrest’s buy up sends ASX mining share soaring - The Motley Fool Australia | Lunch Wrap: Tech weighs as Twiggy’s tungsten bet sends EQ roaring - Stockhead | EQ Resources (ASX:EQR) Shares Could Be 16% Overvalued After Mine Access Progress - simplywall.st | EQ Resources (ASX:EQR) Share Closed in Red on Thursday – Here’s Why - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,ELS.AX,ELSIGHT LTD,6.49,1440802432,-5.67,-7.68,-10.48,0.98,1D <= -4.0%,,"Elsight (ASX:ELS) Tumbles 8% Despite Tripling in a Year — What Is Rattling the Drone Connectivity Stock? - Kalkine | Elsight delivers solid cash flow in June quarter - The Motley Fool Australia | ASX Value Picks Elsight And 2 Others Trading Below Estimated Worth - Yahoo Finance | Elsight Shares Making ATHs, As Demand Powers Rally - thebull.com.au | Is Strengthening Drone‑Defence Demand Altering The Investment Case For Elsight (ASX:ELS)? - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,HDN.AX,HOMECO DAILY NEEDS REIT,1.21,2517605632,-5.49,-6.59,-4.37,3.89,1D <= -4.0%,,HomeCo Daily Needs REIT (ASX:HDN) Sees Elevated Trading Volume Following FY26 Results and FY27 Distribution Outlook - Kalkine | HomeCo Daily Needs REIT (ASX:HDN) Flags FY27 FFO Pressure from Higher Financing Costs - Kalkine | HomeCo Daily Needs REIT (ASX:HDN) Share Price and Business Update - Kalkine | HomeCo Daily Needs REIT announces Q3 2026 distribution and DRP details - The Motley Fool Australia | HDN Forecast — Price Target — Prediction for 2027 - TradingView,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,IAG.AX,INSURANCE AUSTRALIA GROUP,7.81,18259412992,-5.1,-8.44,-5.33,3.45,1D <= -4.0%; 5D <= -8.0%,,"Insurance Australia Group (ASX:IAG) Shares Confront A Sharper Margin Squeeze - simplywall.st | 3 ASX Stocks That Gained Limelight Today: TLS, CWY and IAG in Focus - Kalkine | IAG shares dive 7% on FY26 results despite $1.3B increase in gross written premiums - The Motley Fool Australia | IAG (ASX:IAG) Sees Over 15M Shares in Trading Volume Surge Following FY26 Insurance Earnings Update - Kalkine | QBE Insurance Group Stock And Other High Yield ASX Dividend Picks - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,HLI.AX,HELIA GROUP LTD,5.75,1575500032,-4.8,11.87,5.12,1.22,1D <= -4.0%,,Helia Group (ASX:HLI) Special Dividend and Buyback Put Insurance Stock Back in Focus - Kalkine | Helia Group posts lower half-year profit but declares interim and special dividends - The Motley Fool Australia | Helia Group Ltd (ASX:HLI) (H1 2026) Earnings Call Highlights: Strong Profit and Capital Returns ... - Yahoo Finance | Could Helia (ASX:HLI) Become an Income Standout After Its Dividend Surprise? - Kalkine Media | 3 ASX Dividend Stocks Yielding Up To 24.5% - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,VUL.AX,VULCAN ENERGY RESOURCES LTD,2.96,1416835840,-4.52,8.03,6.47,1.22,1D <= -4.0%,,"Vulcan Energy Resources (ASX:VUL) Moves Lower as Battery Materials Market Conditions Shift - Kalkine | Vulcan Energy Resources (ASX:VUL) Gets EAU Lithium Election Notice, Is It Trading At A Discount? - simplywall.st | Vulcan Energy Resources Ltd. Actuals & Estimates (ASX:VUL) - TradingView | Citigroup No Longer a Substantial Shareholder in Vulcan Energy Resources as of August 6, 2026 - Kalkine Media | Why Are Investors Closely Watching Vulcan Energy Resources (ASX:VUL) Shares? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,MAD.AX,MADER GROUP LTD,6.82,1387608960,-2.57,-9.55,-11.2,1.76,5D <= -8.0%,,"Mader Group Ltd (ASX:MAD) Retreats: Is Mining Services Momentum Cooling? - Kalkine | With EPS Growth And More, Mader Group (ASX:MAD) Makes An Interesting Case - simplywall.st | MAD Forecast — Price Target — Prediction for 2027 - TradingView | Mader Group (ASX:MAD) Ends Lower as Investors Look Beyond the Daily Market Move - Kalkine | Mader Group Limited (ASX:MAD) insiders still own 68% despite recent sales, but recent decline may have cost them - Yahoo Finance",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,CQE.AX,CHARTER HALL SOCIAL INFRASTR,2.47,916638656,-2.37,-10.18,-6.79,1.43,5D <= -8.0%,,Charter Hall Social Infrastructure REIT (ASX:CQE) Share Price in Focus as Real Estate Stocks Slip - Kalkine | Charter Hall Social Infrastructure REIT (ASX:CQE) Falls as Rate Pressure Persists - Kalkine | Charter Hall Social Infrastructure REIT (ASX:CQE) Shares Trail Asset Backing Despite Solid Income - simplywall.st | Can Charter Hall Social Infrastructure REIT (ASX:CQE) Close The Gap Between Income Strength And Asset Value? - Kalkine Media | CQE Forecast — Price Target — Prediction for 2027 - TradingView,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,LOV.AX,LOVISA HOLDINGS LTD,24.56,2719737344,-1.8,-8.7,3.94,0.73,5D <= -8.0%,,"Lovisa Holdings Ltd (ASX:LOV) Stock: Market Dynamics & Long-Term Value Assessment - Kalkine | Lovisa Holdings Ltd. Revenue Breakdown – ASX:LOV - TradingView | 3 ASX Stocks That May Be Undervalued By Up To 49.7% - simplywall.st | How Are Lovisa (ASX:LOV), Nick Scali (ASX:NCK), CAR Group (ASX:CAR) and REA Group (ASX:REA) Responding to Sector Change? - Kalkine Media | Lovisa Holdings Ltd (ASX:LOV) Momentum Builds on Sector Strength - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
