rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,BC8.AX,BLACK CAT SYNDICATE LTD,1.03,750795840,-8.04,-4.19,-7.62,3.09,1D <= -7.0%,trading halt,Black Cat Syndicate (ASX: BC8) — Is This Gold Explorer Worth Keeping on Your Watchlist? - Kalkine | Black Cat Syndicate (ASX:BC8) Shares Screen Cheap As Gold Profits Jump - simplywall.st | Black Cat Syndicate (ASX:BC8) Initiates Trading Halt Ahead of Management Update Announcement - kalkinemedia.com | This ASX 300 gold stock is leaping 9% today on major growth news - The Motley Fool Australia | Black Cat Syndicate Requests Trading Halt Pending Management Update - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,HSN.AX,HANSEN TECHNOLOGIES LTD,3.37,689252288,-3.44,-1.46,-23.26,0.48,20D <= -20.0%,,"Hansen Technologies (ASX: HSN) Down Over 32% in a Month — Why Is the Stock Falling Despite Higher Profit? - Kalkine | Hansen Technologies (ASX:HSN) Posts FY26 Earnings Growth, Is The Stock A Bargain? - simplywall.st | Hansen Technologies (ASX:HSN) Cash Acceleration Is the Story in 1H FY26 - Stocks Down Under | Hansen Technologies (ASX:HSN) Trades Ex-Dividend as 5-Cent Final Payout Follows FY26 Earnings Growth - Kalkine | 3 ASX opportunities after earnings season - Morningstar Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,4DX.AX,4DMEDICAL LTD,3.52,2111765248,-2.22,2.92,-20.0,0.48,20D <= -20.0%,,4DMedical (ASX:4DX) Jumps 4.65% — Why the Lung Imaging Tech Stock Is Making Moves - Kalkine | ASX Stocks: 3 Companies Estimated To Be Trading Below Their Fair Value - simplywall.st | Why 4DMedical shares could still rise 65% - The Motley Fool Australia | 4DMEDICAL (ASX:4DX) Gains 4% as CT:VQ Expansion Keeps Stock in Focus - Kalkine | 4DMedical shares are up 670% — but why have they halved? - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,SDR.AX,SITEMINDER LTD,2.9,820946112,-1.69,-3.33,-24.87,0.54,20D <= -20.0%,,Market is misinterpreting AI impact on cheap ASX share - Morningstar Australia | What’s Driving the Weak Sentiment in SiteMinder (ASX:SDR) Stock on ASX Today? - Kalkine | SiteMinder (ASX:SDR) Shares Could Be 18.3% Below Fair Value After Trading Rally - simplywall.st | Here are the top 10 ASX 200 shares today - The Motley Fool Australia | SiteMinder (ASX:SDR) Shares Could Be 22% Undervalued After Price Spike Draws Fresh Attention - Yahoo Finance,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,NAN.AX,NANOSONICS LTD,2.72,813037632,-1.45,-1.45,-24.44,0.69,20D <= -20.0%,,Nanosonics (ASX:NAN) Up 2.18% — Should You Add This Infection Prevention Stock to Your Watchlist? - Kalkine | Nanosonics Ltd (ASX:NAN) Stock on Investors' Radar: Why Is the Share Price Moving? - Kalkine | Nanosonics Limited (ASX:NAN) is favoured by institutional owners who hold 72% of the company - Yahoo Finance | ASX Penny Stocks: Kogan.com And Two Other Promising Picks - simplywall.st | Why Nanosonics (ASX:NAN) Could Be Worth Watching in Penny Stocks Now? - kalkinemedia.com,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,IRE.AX,IRESS LTD,5.64,1053492608,-0.53,-0.7,-23.51,0.34,20D <= -20.0%,,"Iress Ltd (ASX:IRE): Financial Technology Growth Drives a Rising Dividend - Kalkine | Income Investors Should Know That Iress Limited (ASX:IRE) Goes Ex-Dividend Soon - simplywall.st | Why Could Iress (ASX:IRE) Enter the Technology Stocks Spotlight? - kalkinemedia.com | Iress (ASX:IRE) Joins Top ASX 200 Decliners After Steep Drop - Kalkine | Buy, hold, or sell? Life360, Iress, Lynas Rare Earths shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,CU6.AX,CLARITY PHARMACEUTICALS LTD,2.27,846894336,-0.44,-0.44,-20.07,1.45,20D <= -20.0%,,Clarity Pharmaceuticals Ltd (ASX:CU6) Stock Slides: What Investors Should Know - Kalkine | Clarity Pharmaceuticals Shares Close At 52-Week Low: The Latest - thebull.com.au | 3 ASX Growth Stocks With High Insider Ownership And Up To 34% Earnings Growth - simplywall.st | Clarity Pharmaceuticals (ASX:CU6): Why This ASX Healthcare Stock Investors May Be Watching Closely - Kalkine | Clarity Pharmaceuticals (ASX:CU6) Advances SECuRE Trial With Additional Complete Responses - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,EQR.AX,EQ RESOURCES LTD,0.37,1884912128,0.0,-14.12,19.67,0.94,5D <= -12.0%,,EQ Resources (ASX:EQR) Shares Fall Despite August Revenue Hitting Record A$55.1 Million on Tungsten Ramp-Up - Kalkine | EQR Stock Price and Chart — ASX:EQR - TradingView | Resources Top 5: EQ Resources breaks tungsten record as Anson lands $357m lithium boost - Stockhead | EQ Resources Surges on Forrest's AU$189.7M Investment - investingnews.com | EQ Resources (ASX:EQR) Slides Despite Record Tungsten Run - kalkinemedia.com,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,CHC.AX,CHARTER HALL GROUP,19.0,8986946560,0.0,-1.66,-20.17,0.53,20D <= -20.0%,,Why Is Charter Hall Group (ASX:CHC) in Focus Across Retirement Planning Stocks? - kalkinemedia.com | Charter Hall Group (ASX:CHC): Could the Next Rate Move Reshape the Investment Case for This Property Stock? - Kalkine | Charter Hall Group (ASX:CHC) Shares Face Margin Squeeze Despite Fee Growth - simplywall.st | ASX property share lifts guidance despite sector headwinds - Morningstar Australia | Charter Hall (ASX:CHC) lifts FY26 guidance yet again as $6.5bn inflows hit record - Stocks Down Under,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,ELS.AX,ELSIGHT LTD,4.8,1067455040,1.69,-7.16,-32.58,0.87,20D <= -20.0%,,"Elsight Limited (ASX:ELS) Up 175% Over the Year — Should You Watch This Connectivity Stock? - Kalkine | Elsight Ltd (ASX: ELS): Head & Shoulders Breakdown Confirms Further Downside Risk - Kalkine | Up 1,800% in a year, this ASX stock just hit another record high - The Motley Fool Australia | ASX Value Picks Elsight And 2 Others Trading Below Estimated Worth - Yahoo Finance | Buy, hold, sell: Beach Energy, Elsight, South32 shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
