rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,ABB.AX,AUSSIE BROADBAND LTD,4.72,1488806144,-6.53,-5.22,1.51,4.82,1D <= -4.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,TVN.AX,TIVAN LTD,0.24,558556032,-5.88,0.0,-15.79,1.0,1D <= -4.0%; 20D <= -15.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,CNU.AX,CHORUS LTD,7.52,3262832384,-5.65,-4.93,-4.69,3.01,1D <= -4.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,RWC.AX,RELIANCE WORLDWIDE CORP LTD,4.2,3141762816,-4.76,16.34,15.07,1.63,1D <= -4.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,EDV.AX,ENDEAVOUR GROUP LTD/AUSTRALI,3.23,5800194048,-4.72,-8.24,-5.28,1.29,1D <= -4.0%; 5D <= -8.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,4DX.AX,4DMEDICAL LTD,3.67,2201755392,-4.18,-1.08,11.89,0.71,1D <= -4.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,PWH.AX,PWR HOLDINGS LTD,11.65,1171688448,-4.12,9.49,23.28,1.87,1D <= -4.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,RIC.AX,RIDLEY CORP LTD,2.62,982115072,-3.68,-10.58,-8.39,3.27,5D <= -8.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,NXT.AX,NEXTDC LTD,13.36,10159161344,-2.27,-9.79,-2.48,0.91,5D <= -8.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,IRE.AX,IRESS LTD,6.2,1158094720,-2.05,-11.3,-5.92,0.69,5D <= -8.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,near_miss,GWA.AX,GWA GROUP LTD,2.04,518942400,-1.92,-11.63,-10.51,1.6,5D <= -8.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,near_miss,SRL.AX,SUNRISE ENERGY METALS LTD,15.79,2675622400,-0.69,-8.89,2.27,0.85,5D <= -8.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,near_miss,NWL.AX,NETWEALTH GROUP LTD,22.07,5415905280,0.96,-8.12,3.52,1.42,5D <= -8.0%,,,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
14,near_miss,DOW.AX,DOWNER EDI LTD,6.66,4389010944,1.06,-10.48,-16.02,2.39,5D <= -8.0%; 20D <= -15.0%,,,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
15,near_miss,HUB.AX,HUB24 LTD,77.5,6337467392,1.69,-10.08,-6.08,1.08,5D <= -8.0%,,,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
16,near_miss,RDX.AX,REDOX LTD/AUSTRALIA,3.4,1822032640,5.47,-9.64,-7.22,1.95,5D <= -8.0%,,,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
