rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,EQR.AX,EQ RESOURCES LTD,0.38,1988194816,-9.41,-1.28,14.93,2.8,1D <= -7.0%,,EQ Resources Limited (ASX:EQR) Shares Fall Around 9% as the Tungsten Rally Takes a Breather - Kalkine | EQR Stock Price and Chart — ASX:EQR - TradingView | Resources Top 5: EQ Resources breaks tungsten record as Anson lands $357m lithium boost - Stockhead | EQ Resources posts record July revenue as production surges - The Motley Fool Australia | EQ Resources Surges on Forrest's AU$189.7M Investment - Investing News Network,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,BMN.AX,BANNERMAN ENERGY LTD,3.98,827090112,-9.34,-16.21,15.36,1.4,1D <= -7.0%; 5D <= -12.0%,,"Bannerman Energy (ASX:BMN) Falls Amid Uranium Sector Pullback - Kalkine | Bannerman Energy Ltd's (ASX:BMN) Shift From Loss To Profit - Yahoo Finance | Buy, hold, sell: Bannerman Energy, Saluda Medical, Bapcor shares - The Motley Fool Australia | Institutional investors have a lot riding on Bannerman Energy Ltd (ASX:BMN) with 64% ownership - simplywall.st | Bannerman Energy (ASX:BMN) - Etango uranium project: FID timing and China financing explained - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,ELS.AX,ELSIGHT LTD,4.71,1047440256,-8.72,-18.37,-32.23,1.75,1D <= -7.0%; 5D <= -12.0%; 20D <= -20.0%,,"Elsight Ltd (ASX: ELS): Potential Head & Shoulders Pattern Signals Further Downside Risk - Kalkine | Buy, hold, sell: Beach Energy, Elsight, South32 shares - The Motley Fool Australia | Is Strengthening Drone‑Defence Demand Altering The Investment Case For Elsight (ASX:ELS)? - simplywall.st | Elsight Shares Hit Fresh All-Time High as Momentum Builds - thebull.com.au | Elsight (ASX:ELS) Tumbles 8% Despite Tripling in a Year — What Is Rattling the Drone Connectivity Stock? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,SLX.AX,SILEX SYSTEMS LTD,4.8,1336503936,-8.57,-18.09,-5.7,2.25,1D <= -7.0%; 5D <= -12.0%,,"Silex Systems (ASX:SLX): Nuclear Technology Commercialisation Path Remains in Focus - Kalkine | Is Silex Systems Turning Revenue Growth Into a More Durable Story? - Kalkine Media | SILEX Systems Ltd Share Price and Fundamentals (SLX) - thebull.com.au | ASX 200 uranium stock lifts off on $143 million US laser news - The Motley Fool Australia | AU Evening Wrap | ASX 200 ends flat as CSL new CEO hits healthcare, tech and uranium names cushion losses - Moomoo",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,TVN.AX,TIVAN LTD,0.22,523646240,-8.16,-2.17,-8.16,0.37,1D <= -7.0%,trading halt,"Why Tivan (ASX:TVN) Shares Climb Despite Weak Resources Sentiment? - Kalkine | Guess which ASX stock just came out of a trading halt and jumped 8% today - The Motley Fool Australia | Tivan Limited (ASX:TVN) Rallies as Critical-Minerals Investors Return to the Stock - Kalkine | Why Amaero, Mesoblast, Telix, and Tivan shares are charging higher today - The Motley Fool Australia | Tivan Limited (ASX:TVN) Surges Today After Key Business Update - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,FFM.AX,FIREFLY METALS LTD,1.74,1337687680,-7.69,-9.37,-4.92,2.1,1D <= -7.0%,,Firefly Metals (ASX:FFM): Copper-Gold Development Strategy Keeps Green Bay Project in Focus - Kalkine | Will Green Bay’s Upgraded Economics and A$150m Raise Change FireFly Metals’ (ASX:FFM) Narrative - simplywall.st | Assessing FireFly Metals (ASX:FFM) Valuation After Strong 1 Year Return And Recent Share Price Weakness - Yahoo Finance | FireFly Metals Ltd (ASX:FFM) Secures A$180 Million in Equity Raising to Fund Green Bay Copper-Gold Development - Kalkine | FireFly Metals completes Ontario gold assets sale to sharpen Green Bay focus - Proactive financial news,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,ARU.AX,ARAFURA RARE EARTHS LTD,0.19,1153773696,-7.32,-9.52,0.0,1.63,1D <= -7.0%,,"Can Arafura Rare Earths (ASX:ARU) Stay on the Rare Earth Minerals Stocks Radar? - Kalkine Media | Rare earths prices just hit three-year highs — why ASX stocks like LYC, ILU and ARU aren’t moving… yet - Market Index | Rare Earths Stocks: 5 Biggest ASX Companies in 2026 - Investing News Network | This ASX rare earths stock is rocketing 14% on big news - The Motley Fool Australia | Arafura Rare Earths (ASX: ARU): Rare Earth Developer Declines Despite Broader Mining Rally - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,ZIP.AX,ZIP CO LTD,2.43,3027590144,-7.25,-7.25,-16.21,1.0,1D <= -7.0%,,Zip Co (ASX:ZIP): BNPL Growth Strategy Faces Ongoing Focus on Profitability and Credit Quality - Kalkine | How Investors May Respond To Zip Co (ASX:ZIP) Earnings Beat And A$50 Million Share Buyback Plan - simplywall.st | Is it time to get greedy with Zip shares? - The Motley Fool Australia | What Is Keeping Zip Co (ASX:ZIP) in Focus Among Technology Stocks? - Kalkine Media | Why Could Zip Co (ASX:ZIP) Enter the Midcap Stocks Spotlight? - Kalkine Media,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,BOE.AX,BOSS ENERGY LTD,1.37,568790208,-6.48,-24.52,1.86,0.89,5D <= -12.0%,,"Boss Energy Ltd (ASX:BOE): Charting Share Movement as the Uranium Producer Scales Up - Kalkine | Buy, hold, sell: Boss Energy, Austal, Liontown shares - The Motley Fool Australia | What Puts Boss Energy (ASX:BOE) in Midcap Stocks Focus? - Kalkine Media | Why Is Boss Energy (ASX:BOE) Stock Down 16% Today? - Kalkine | Boss Energy Upgraded: Bearish Analysts Shift Tone After 77% Selloff - thebull.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,MAF.AX,MA FINANCIAL GROUP LTD,5.35,1055405248,-6.47,-14.13,-9.45,1.59,5D <= -12.0%,,MA Financial Group Limited (ASX:MAF): Could Higher Rates and Stronger Margins Put This Financial Stock in Focus? - Kalkine | MA Financial Group (ASX:MAF) Share Price Falls — What's Weighing on the Stock? - Kalkine | MA Financial Group (ASX:MAF) Shares Trail EPS Surge As Margins Tighten - simplywall.st | MA Financial delivers record 1H26 earnings and lifts dividend - The Motley Fool Australia | MAF Forecast — Price Target — Prediction for 2027 - TradingView,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
